transaction_id,user_id,amount,transaction_type,status
68,341,21021,DEBIT,SUCCESS
69,329,72915,CREDIT,SUCCESS
70,453,10102,CREDIT,SUCCESS
71,153,39408,CREDIT,SUCCESS
72,472,35198,DEBIT,SUCCESS
73,135,11859,DEBIT,SUCCESS
74,369,81018,CREDIT,SUCCESS
75,216,28550,CREDIT,SUCCESS
76,355,16590,DEBIT,SUCCESS
77,267,95604,CREDIT,SUCCESS
78,115,96534,CREDIT,SUCCESS
79,336,34304,CREDIT,SUCCESS
80,236,10586,DEBIT,SUCCESS
81,327,51600,CREDIT,FAILED
82,251,83719,CREDIT,SUCCESS
83,102,16646,CREDIT,SUCCESS
84,456,93211,CREDIT,FAILED
85,419,33721,CREDIT,SUCCESS
86,269,27392,DEBIT,SUCCESS
87,349,2588,CREDIT,SUCCESS
88,326,12198,CREDIT,SUCCESS
89,319,67565,DEBIT,SUCCESS
90,449,68117,CREDIT,FAILED
91,368,30006,CREDIT,FAILED
92,366,37449,CREDIT,SUCCESS
93,336,55004,CREDIT,FAILED
94,292,15812,DEBIT,SUCCESS
95,248,61013,DEBIT,SUCCESS
96,409,42306,DEBIT,SUCCESS
97,442,5611,DEBIT,SUCCESS
98,232,51554,CREDIT,SUCCESS
99,442,20189,CREDIT,SUCCESS
100,280,45992,DEBIT,SUCCESS
101,127,45031,DEBIT,SUCCESS
102,132,15100,CREDIT,SUCCESS
103,252,80310,CREDIT,SUCCESS
104,194,58202,DEBIT,FAILED
105,472,80396,DEBIT,SUCCESS
106,363,62844,CREDIT,FAILED
107,199,87726,CREDIT,SUCCESS
108,162,23448,CREDIT,SUCCESS
109,374,5952,CREDIT,SUCCESS
110,423,51248,DEBIT,SUCCESS
111,204,6490,CREDIT,FAILED
112,486,85533,CREDIT,SUCCESS
113,477,80479,DEBIT,SUCCESS
114,397,31851,DEBIT,FAILED
115,262,87858,CREDIT,SUCCESS
116,247,33982,DEBIT,SUCCESS
117,250,94585,CREDIT,SUCCESS
118,183,31299,DEBIT,FAILED
119,270,59415,CREDIT,SUCCESS
120,445,86285,CREDIT,FAILED
121,171,32184,DEBIT,SUCCESS
122,362,66583,DEBIT,SUCCESS
123,452,29815,DEBIT,SUCCESS
124,475,38154,CREDIT,FAILED
125,101,81130,DEBIT,FAILED
126,407,84473,DEBIT,SUCCESS
127,125,14542,CREDIT,SUCCESS
128,131,55182,CREDIT,FAILED
129,421,99409,DEBIT,SUCCESS
130,165,68971,DEBIT,SUCCESS
131,471,60011,DEBIT,SUCCESS
132,331,6048,CREDIT,SUCCESS
133,448,38228,DEBIT,FAILED
134,290,66257,DEBIT,SUCCESS
135,346,76882,CREDIT,SUCCESS
136,277,62340,CREDIT,FAILED
137,476,38823,CREDIT,SUCCESS
138,205,22563,DEBIT,SUCCESS
139,381,81578,CREDIT,FAILED
140,159,66187,CREDIT,SUCCESS
141,483,30525,DEBIT,SUCCESS
142,425,95803,CREDIT,FAILED
143,370,18999,CREDIT,FAILED
144,466,94505,CREDIT,SUCCESS
145,481,20170,CREDIT,FAILED
146,480,61380,CREDIT,SUCCESS
147,284,8847,DEBIT,SUCCESS
148,255,27703,DEBIT,SUCCESS
149,461,43914,CREDIT,SUCCESS
150,217,73853,CREDIT,SUCCESS
151,296,2993,CREDIT,SUCCESS
152,165,58751,DEBIT,SUCCESS
153,355,7107,DEBIT,SUCCESS
154,426,94190,CREDIT,SUCCESS
155,343,98600,CREDIT,SUCCESS
156,242,65635,DEBIT,SUCCESS
157,200,80264,CREDIT,SUCCESS
158,386,3489,DEBIT,SUCCESS
159,448,45457,CREDIT,FAILED
160,105,9427,CREDIT,FAILED
161,252,6329,CREDIT,FAILED
162,374,12403,CREDIT,SUCCESS
163,178,96760,DEBIT,SUCCESS
164,201,24754,DEBIT,SUCCESS
165,418,2957,CREDIT,SUCCESS
166,364,80916,DEBIT,FAILED
167,206,44930,CREDIT,SUCCESS
168,139,55396,DEBIT,SUCCESS
169,475,25545,CREDIT,SUCCESS
170,405,88024,CREDIT,SUCCESS
171,403,78020,CREDIT,SUCCESS
172,175,32978,CREDIT,SUCCESS
173,337,74387,CREDIT,FAILED
174,381,52326,CREDIT,SUCCESS
175,475,43303,CREDIT,SUCCESS
176,249,89340,DEBIT,SUCCESS
177,481,63618,CREDIT,SUCCESS
178,134,95393,CREDIT,SUCCESS
179,493,49775,DEBIT,SUCCESS
180,438,9597,DEBIT,SUCCESS
181,246,81046,DEBIT,SUCCESS
182,428,73880,DEBIT,SUCCESS
183,251,53791,DEBIT,SUCCESS
184,145,49671,CREDIT,FAILED
185,102,1477,CREDIT,FAILED
186,357,75476,CREDIT,SUCCESS
187,110,79876,DEBIT,SUCCESS
188,491,90133,CREDIT,SUCCESS
189,411,75041,CREDIT,SUCCESS
190,448,46105,CREDIT,FAILED
191,215,69525,CREDIT,SUCCESS
192,215,34811,CREDIT,FAILED
193,140,81153,CREDIT,FAILED
194,392,30479,CREDIT,SUCCESS
195,294,3966,DEBIT,SUCCESS
196,258,11018,DEBIT,FAILED
197,147,96912,DEBIT,SUCCESS
198,278,39312,DEBIT,SUCCESS
199,123,50137,CREDIT,SUCCESS
200,120,63358,DEBIT,SUCCESS
201,424,95841,CREDIT,SUCCESS
202,174,11523,CREDIT,SUCCESS
203,413,8458,DEBIT,SUCCESS
204,166,3080,DEBIT,FAILED
205,401,56572,DEBIT,SUCCESS
206,486,76215,CREDIT,FAILED
207,444,88848,CREDIT,SUCCESS
208,258,64463,DEBIT,FAILED
209,373,93662,DEBIT,FAILED
210,113,38150,CREDIT,SUCCESS
211,235,36163,CREDIT,SUCCESS
212,226,89752,CREDIT,SUCCESS
213,453,8798,CREDIT,FAILED
214,336,16176,DEBIT,SUCCESS
215,356,28723,DEBIT,SUCCESS
216,289,83282,DEBIT,SUCCESS
217,188,93674,CREDIT,SUCCESS
218,260,29634,DEBIT,SUCCESS
219,166,82384,DEBIT,SUCCESS
220,209,25179,CREDIT,FAILED
221,324,14483,CREDIT,FAILED
222,474,32259,DEBIT,FAILED
223,313,6191,DEBIT,FAILED
224,416,92319,DEBIT,SUCCESS
225,301,93055,DEBIT,FAILED
226,273,11461,CREDIT,SUCCESS
227,450,10334,CREDIT,FAILED
228,312,87666,CREDIT,SUCCESS
229,299,34020,DEBIT,SUCCESS
230,422,38974,DEBIT,SUCCESS
231,376,51447,DEBIT,FAILED
232,180,45590,DEBIT,SUCCESS
233,229,7677,DEBIT,SUCCESS
234,498,6858,CREDIT,FAILED
235,299,53118,DEBIT,SUCCESS
236,152,36886,CREDIT,SUCCESS
237,498,14103,DEBIT,SUCCESS
238,280,49333,CREDIT,SUCCESS
239,203,37440,CREDIT,SUCCESS
240,298,65770,CREDIT,FAILED
241,269,37270,CREDIT,SUCCESS
242,304,19822,CREDIT,SUCCESS
243,388,38058,CREDIT,SUCCESS
244,275,4103,DEBIT,SUCCESS
245,239,46503,DEBIT,FAILED
246,182,48053,DEBIT,SUCCESS
247,430,80204,CREDIT,SUCCESS
248,249,34634,DEBIT,FAILED
249,500,18536,CREDIT,SUCCESS
250,314,78628,DEBIT,SUCCESS
251,216,93846,DEBIT,SUCCESS
252,173,84514,CREDIT,FAILED
253,359,59514,CREDIT,SUCCESS
254,320,4825,DEBIT,FAILED
255,465,76681,CREDIT,FAILED
256,327,35252,DEBIT,FAILED
257,384,99393,CREDIT,SUCCESS
258,153,84908,DEBIT,SUCCESS
259,274,57999,DEBIT,SUCCESS
260,247,64833,DEBIT,SUCCESS
261,231,9373,DEBIT,FAILED
262,227,77379,CREDIT,SUCCESS
263,315,83193,DEBIT,SUCCESS
264,211,22603,DEBIT,FAILED
265,240,54292,CREDIT,SUCCESS
266,400,28731,CREDIT,SUCCESS
267,226,11227,DEBIT,SUCCESS
268,106,42711,DEBIT,SUCCESS
269,327,88761,DEBIT,SUCCESS
270,267,1266,CREDIT,SUCCESS
271,224,40853,CREDIT,SUCCESS
272,345,55686,CREDIT,SUCCESS
273,279,59180,DEBIT,SUCCESS
274,490,73928,DEBIT,SUCCESS
275,201,25260,CREDIT,FAILED
276,297,57851,CREDIT,SUCCESS
277,493,57489,DEBIT,FAILED
278,226,59014,CREDIT,FAILED
279,231,20961,DEBIT,SUCCESS
280,154,49943,DEBIT,FAILED
281,467,46809,CREDIT,SUCCESS
282,402,60094,DEBIT,SUCCESS
283,259,59279,CREDIT,FAILED
284,483,11979,CREDIT,SUCCESS
285,310,3910,DEBIT,SUCCESS
286,131,75657,CREDIT,SUCCESS
287,300,35351,DEBIT,SUCCESS
288,122,96847,DEBIT,FAILED
289,196,89134,DEBIT,SUCCESS
290,296,53082,DEBIT,SUCCESS
291,251,44376,CREDIT,FAILED
292,160,26265,CREDIT,SUCCESS
293,448,90819,CREDIT,SUCCESS
294,339,33174,DEBIT,FAILED
295,420,96469,DEBIT,FAILED
296,367,91905,DEBIT,SUCCESS
297,222,84160,DEBIT,SUCCESS
298,229,67327,DEBIT,SUCCESS
299,137,67085,CREDIT,SUCCESS
300,172,46237,DEBIT,FAILED
301,323,14669,DEBIT,FAILED
302,284,4419,CREDIT,SUCCESS
303,105,52764,DEBIT,SUCCESS
304,179,40964,CREDIT,SUCCESS
305,431,3542,CREDIT,SUCCESS
306,140,6584,DEBIT,SUCCESS
307,382,9873,CREDIT,SUCCESS
308,204,88789,CREDIT,FAILED
309,430,76623,DEBIT,SUCCESS
310,339,54259,DEBIT,SUCCESS
311,221,88935,DEBIT,SUCCESS
312,285,9032,CREDIT,SUCCESS
313,348,44616,CREDIT,FAILED
314,284,44896,CREDIT,SUCCESS
315,287,87153,DEBIT,SUCCESS
316,440,26018,DEBIT,SUCCESS
317,252,3216,DEBIT,SUCCESS
318,433,78303,CREDIT,SUCCESS
319,419,93705,CREDIT,FAILED
320,144,50088,CREDIT,SUCCESS
321,244,24655,DEBIT,SUCCESS
322,463,72469,CREDIT,SUCCESS
323,491,32826,DEBIT,FAILED
324,228,64787,CREDIT,SUCCESS
325,148,86358,CREDIT,SUCCESS
326,252,31925,CREDIT,SUCCESS
327,472,70208,DEBIT,SUCCESS
328,338,20590,DEBIT,FAILED
329,486,25714,DEBIT,SUCCESS
330,365,92187,CREDIT,SUCCESS
331,335,43219,CREDIT,FAILED
332,448,98191,DEBIT,FAILED
333,419,96300,DEBIT,SUCCESS
334,338,66861,CREDIT,SUCCESS
335,471,72892,DEBIT,SUCCESS
336,393,56396,CREDIT,SUCCESS
337,155,9193,DEBIT,SUCCESS
338,270,36113,DEBIT,SUCCESS
339,170,71546,CREDIT,SUCCESS
340,254,1234,DEBIT,SUCCESS
341,357,83198,DEBIT,SUCCESS
342,403,72296,DEBIT,SUCCESS
343,471,13631,CREDIT,SUCCESS
344,468,52110,DEBIT,SUCCESS
345,425,98325,DEBIT,FAILED
346,439,28824,DEBIT,SUCCESS
347,155,25112,DEBIT,SUCCESS
348,145,79404,CREDIT,SUCCESS
349,217,13817,CREDIT,SUCCESS
350,446,33980,DEBIT,SUCCESS
351,159,45888,DEBIT,SUCCESS
352,494,28060,CREDIT,SUCCESS
353,386,55416,DEBIT,SUCCESS
354,407,29638,DEBIT,FAILED
355,119,92678,CREDIT,SUCCESS
356,148,77711,CREDIT,SUCCESS
357,487,37474,CREDIT,FAILED
358,210,92651,DEBIT,SUCCESS
359,451,92867,DEBIT,FAILED
360,430,12661,CREDIT,SUCCESS
361,145,49059,CREDIT,SUCCESS
362,170,61397,CREDIT,SUCCESS
363,128,9812,CREDIT,SUCCESS
364,274,53048,CREDIT,FAILED
365,303,42151,CREDIT,FAILED
366,344,65099,DEBIT,SUCCESS
367,180,72165,DEBIT,FAILED
368,413,33274,DEBIT,SUCCESS
369,264,30690,CREDIT,SUCCESS
370,154,16292,DEBIT,SUCCESS
371,390,54563,DEBIT,FAILED
372,251,90735,CREDIT,SUCCESS
373,393,26396,CREDIT,SUCCESS
374,122,73501,DEBIT,SUCCESS
375,453,69622,CREDIT,FAILED
376,269,91765,DEBIT,SUCCESS
377,299,25491,DEBIT,SUCCESS
378,129,92454,CREDIT,SUCCESS
379,280,50383,DEBIT,SUCCESS
380,110,89469,DEBIT,SUCCESS
381,252,30871,CREDIT,SUCCESS
382,481,15014,CREDIT,SUCCESS
383,477,80976,DEBIT,SUCCESS
384,200,80871,DEBIT,FAILED
385,450,72773,DEBIT,SUCCESS
386,449,18194,CREDIT,SUCCESS
387,240,72317,CREDIT,SUCCESS
388,184,91099,CREDIT,SUCCESS
389,141,39874,CREDIT,SUCCESS
390,202,60996,DEBIT,SUCCESS
391,423,62359,CREDIT,SUCCESS
392,300,38809,DEBIT,SUCCESS
393,423,16748,CREDIT,SUCCESS
394,353,94282,CREDIT,SUCCESS
395,285,2275,CREDIT,SUCCESS
396,131,81973,DEBIT,SUCCESS
397,485,1055,DEBIT,SUCCESS
398,408,91861,DEBIT,FAILED
399,233,87769,CREDIT,SUCCESS
400,265,75804,DEBIT,FAILED
401,461,64468,DEBIT,SUCCESS
402,290,69671,CREDIT,SUCCESS
403,499,62688,CREDIT,SUCCESS
404,143,43729,DEBIT,SUCCESS
405,431,98381,CREDIT,SUCCESS
406,437,57740,CREDIT,FAILED
407,429,64807,DEBIT,SUCCESS
408,121,40948,DEBIT,SUCCESS
409,328,64105,DEBIT,SUCCESS
410,379,35010,CREDIT,FAILED
411,491,8219,DEBIT,SUCCESS
412,118,41951,CREDIT,FAILED
413,142,14220,CREDIT,SUCCESS
414,151,37991,CREDIT,SUCCESS
415,292,74560,CREDIT,SUCCESS
416,113,86129,DEBIT,SUCCESS
417,398,66667,CREDIT,SUCCESS
418,221,8978,CREDIT,SUCCESS
419,322,92686,CREDIT,SUCCESS
420,159,77672,DEBIT,SUCCESS
421,453,67385,DEBIT,SUCCESS
422,358,71879,CREDIT,SUCCESS
423,420,51862,CREDIT,FAILED
424,480,88176,DEBIT,SUCCESS
425,245,1284,CREDIT,SUCCESS
426,351,76418,CREDIT,SUCCESS
427,113,14840,DEBIT,SUCCESS
428,165,39346,DEBIT,FAILED
429,154,99818,DEBIT,FAILED
430,368,13047,CREDIT,SUCCESS
431,280,57269,CREDIT,SUCCESS
432,243,43688,DEBIT,SUCCESS
433,273,92831,DEBIT,SUCCESS
434,169,54738,DEBIT,FAILED
435,493,9524,DEBIT,SUCCESS
436,153,58019,CREDIT,SUCCESS
437,197,71735,DEBIT,SUCCESS
438,269,74040,CREDIT,SUCCESS
439,292,93552,CREDIT,SUCCESS
440,266,11621,CREDIT,FAILED
441,262,81421,DEBIT,SUCCESS
442,352,55027,DEBIT,FAILED
443,495,61349,DEBIT,FAILED
444,216,83755,DEBIT,FAILED
445,299,35559,CREDIT,SUCCESS
446,387,30491,DEBIT,FAILED
447,493,20704,DEBIT,SUCCESS
448,457,56613,CREDIT,SUCCESS
449,100,22386,CREDIT,FAILED
450,143,54437,CREDIT,SUCCESS
451,344,64654,DEBIT,SUCCESS
452,105,41827,DEBIT,SUCCESS
453,283,19028,CREDIT,FAILED
454,292,43576,DEBIT,FAILED
455,263,34912,CREDIT,SUCCESS
456,276,47343,CREDIT,SUCCESS
457,340,48386,CREDIT,SUCCESS
458,135,32996,DEBIT,FAILED
459,310,51591,CREDIT,SUCCESS
460,446,23029,CREDIT,SUCCESS
461,339,90796,DEBIT,SUCCESS
462,276,74071,CREDIT,SUCCESS
463,416,10133,CREDIT,SUCCESS
464,190,99126,CREDIT,SUCCESS
465,148,9870,DEBIT,FAILED
466,107,52170,DEBIT,FAILED
467,342,49767,DEBIT,FAILED
468,241,80322,DEBIT,FAILED
469,109,92680,CREDIT,FAILED
470,456,90737,CREDIT,SUCCESS
471,232,23281,DEBIT,SUCCESS
472,104,41161,CREDIT,SUCCESS
473,265,15165,DEBIT,SUCCESS
474,117,59185,CREDIT,SUCCESS
475,454,72734,DEBIT,FAILED
476,273,1019,CREDIT,FAILED
477,171,92745,CREDIT,SUCCESS
478,497,96910,DEBIT,FAILED
479,252,96298,CREDIT,SUCCESS
480,318,1908,DEBIT,SUCCESS
481,211,63020,CREDIT,FAILED
482,158,35136,DEBIT,FAILED
483,487,61229,CREDIT,SUCCESS
484,206,70363,DEBIT,SUCCESS
485,481,18571,DEBIT,SUCCESS
486,412,84646,CREDIT,SUCCESS
487,160,75560,CREDIT,SUCCESS
488,162,10682,DEBIT,SUCCESS
489,272,97762,DEBIT,SUCCESS
490,216,30574,CREDIT,FAILED
491,431,6133,DEBIT,SUCCESS
492,372,94603,DEBIT,SUCCESS
493,109,32289,DEBIT,FAILED
494,364,58668,CREDIT,SUCCESS
495,379,34706,CREDIT,SUCCESS
496,169,58221,CREDIT,SUCCESS
497,412,18141,CREDIT,SUCCESS
498,318,95734,DEBIT,SUCCESS
499,241,78923,CREDIT,SUCCESS
500,359,24387,CREDIT,SUCCESS
501,220,70673,DEBIT,SUCCESS
502,150,69696,DEBIT,SUCCESS
503,358,41670,DEBIT,SUCCESS
504,328,23377,DEBIT,SUCCESS
505,460,98073,DEBIT,SUCCESS
506,463,17571,CREDIT,FAILED
507,201,72547,DEBIT,SUCCESS
508,395,80013,CREDIT,FAILED
509,161,91287,DEBIT,FAILED
510,354,18650,CREDIT,SUCCESS
511,165,87061,CREDIT,SUCCESS
512,210,34062,DEBIT,SUCCESS
513,468,37090,CREDIT,SUCCESS
514,481,75283,CREDIT,SUCCESS
515,415,88016,DEBIT,SUCCESS
516,131,10558,DEBIT,SUCCESS
517,151,62639,DEBIT,SUCCESS
518,227,46710,CREDIT,FAILED
519,476,32163,DEBIT,FAILED
520,254,94376,CREDIT,SUCCESS
521,234,79181,CREDIT,FAILED
522,112,24087,CREDIT,SUCCESS
523,349,41542,CREDIT,SUCCESS
524,473,9429,DEBIT,FAILED
525,194,59565,DEBIT,FAILED
526,485,57700,DEBIT,SUCCESS
527,122,76107,CREDIT,SUCCESS
528,467,16783,DEBIT,SUCCESS
529,500,20478,CREDIT,FAILED
530,121,65411,DEBIT,SUCCESS
531,156,49417,DEBIT,FAILED
532,369,31091,CREDIT,SUCCESS
533,231,42540,DEBIT,FAILED
534,105,75504,CREDIT,SUCCESS
535,127,23140,DEBIT,SUCCESS
536,358,68715,CREDIT,SUCCESS
537,241,62739,CREDIT,SUCCESS
538,253,81962,DEBIT,SUCCESS
539,460,9391,DEBIT,SUCCESS
540,499,52870,DEBIT,SUCCESS
541,106,91333,CREDIT,SUCCESS
542,464,42640,CREDIT,SUCCESS
543,290,60497,CREDIT,SUCCESS
544,283,53487,DEBIT,SUCCESS
545,349,66365,CREDIT,SUCCESS
546,325,2322,DEBIT,SUCCESS
547,164,72715,DEBIT,SUCCESS
548,467,70352,CREDIT,SUCCESS
549,306,28492,CREDIT,FAILED
550,203,68979,DEBIT,SUCCESS
551,348,36961,DEBIT,SUCCESS
552,376,88986,DEBIT,FAILED
553,424,16396,DEBIT,SUCCESS
554,283,90290,DEBIT,SUCCESS
555,231,74459,DEBIT,SUCCESS
556,371,97955,CREDIT,SUCCESS
557,419,76162,DEBIT,SUCCESS
558,436,95083,DEBIT,SUCCESS
559,147,22709,DEBIT,SUCCESS
560,242,59289,CREDIT,FAILED
561,150,64400,CREDIT,SUCCESS
562,417,48515,DEBIT,SUCCESS
563,340,40428,CREDIT,SUCCESS
564,278,35305,DEBIT,SUCCESS
565,411,14770,DEBIT,SUCCESS
566,473,62145,DEBIT,FAILED
567,393,21885,CREDIT,SUCCESS
568,213,37713,DEBIT,SUCCESS
569,262,30088,CREDIT,SUCCESS
570,478,40591,DEBIT,SUCCESS
571,440,1914,DEBIT,SUCCESS
572,198,21413,CREDIT,SUCCESS
573,375,12672,DEBIT,SUCCESS
574,416,4384,CREDIT,FAILED
575,156,10835,DEBIT,SUCCESS
576,282,71095,CREDIT,FAILED
577,352,44305,CREDIT,FAILED
578,449,20343,DEBIT,SUCCESS
579,484,5801,DEBIT,SUCCESS
580,156,45603,CREDIT,SUCCESS
581,394,80274,DEBIT,SUCCESS
582,331,82720,CREDIT,SUCCESS
583,458,27417,DEBIT,SUCCESS
584,320,86331,CREDIT,SUCCESS
585,213,6600,CREDIT,SUCCESS
586,224,4284,DEBIT,FAILED
587,498,77132,DEBIT,SUCCESS
588,481,48600,DEBIT,SUCCESS
589,268,10369,DEBIT,SUCCESS
590,124,7248,DEBIT,SUCCESS
591,405,59123,CREDIT,FAILED
592,446,17178,DEBIT,SUCCESS
593,242,59939,DEBIT,FAILED
594,281,95882,DEBIT,SUCCESS
595,146,39587,CREDIT,SUCCESS
596,136,12239,DEBIT,SUCCESS
597,278,79470,DEBIT,SUCCESS
598,190,23138,DEBIT,SUCCESS
599,413,1657,DEBIT,SUCCESS
600,237,54482,CREDIT,FAILED
601,352,40441,DEBIT,FAILED
602,178,36738,CREDIT,SUCCESS
603,494,58289,CREDIT,SUCCESS
604,203,66907,CREDIT,SUCCESS
605,197,7673,CREDIT,SUCCESS
606,257,29488,CREDIT,SUCCESS
607,303,18244,CREDIT,SUCCESS
608,446,50245,CREDIT,FAILED
609,270,37596,DEBIT,FAILED
610,226,51871,CREDIT,SUCCESS
611,168,10699,CREDIT,SUCCESS
612,243,47305,DEBIT,SUCCESS
613,482,29759,CREDIT,FAILED
614,121,27883,DEBIT,SUCCESS
615,400,70038,DEBIT,FAILED
616,156,39316,CREDIT,SUCCESS
617,210,60999,DEBIT,SUCCESS
618,473,70257,DEBIT,FAILED
619,135,53326,CREDIT,SUCCESS
620,383,55663,DEBIT,SUCCESS
621,351,81739,CREDIT,SUCCESS
622,240,88794,DEBIT,SUCCESS
623,346,92154,CREDIT,SUCCESS
624,213,76296,CREDIT,SUCCESS
625,373,4212,DEBIT,FAILED
626,366,83647,CREDIT,FAILED
627,404,68367,DEBIT,SUCCESS
628,129,9678,DEBIT,SUCCESS
629,352,52806,DEBIT,SUCCESS
630,108,62061,DEBIT,SUCCESS
631,126,32597,DEBIT,SUCCESS
632,214,92718,DEBIT,FAILED
633,367,82864,CREDIT,SUCCESS
634,124,17495,CREDIT,SUCCESS
635,207,46759,CREDIT,SUCCESS
636,489,46957,CREDIT,SUCCESS
637,156,70699,CREDIT,SUCCESS
638,208,48894,DEBIT,SUCCESS
639,204,47345,DEBIT,SUCCESS
640,266,91308,DEBIT,SUCCESS
641,256,34961,CREDIT,SUCCESS
642,195,7422,CREDIT,FAILED
643,205,73073,DEBIT,SUCCESS
644,298,28951,CREDIT,SUCCESS
645,426,77819,CREDIT,FAILED
646,330,73754,CREDIT,SUCCESS
647,346,11623,CREDIT,SUCCESS
648,262,3374,DEBIT,SUCCESS
649,126,67992,CREDIT,SUCCESS
650,284,31739,DEBIT,SUCCESS
651,258,72919,CREDIT,SUCCESS
652,231,91186,CREDIT,FAILED
653,342,15934,CREDIT,SUCCESS
654,420,50440,DEBIT,SUCCESS
655,157,95415,CREDIT,SUCCESS
656,220,75359,DEBIT,SUCCESS
657,401,61974,CREDIT,SUCCESS
658,344,53989,DEBIT,SUCCESS
659,245,89566,DEBIT,SUCCESS
660,216,77325,DEBIT,SUCCESS
661,370,8234,DEBIT,SUCCESS
662,250,7276,CREDIT,SUCCESS
663,493,78807,CREDIT,SUCCESS
664,104,10468,CREDIT,SUCCESS
665,480,86539,DEBIT,SUCCESS
666,316,28542,CREDIT,SUCCESS
667,318,5901,CREDIT,SUCCESS
668,232,57425,DEBIT,FAILED
669,473,9362,DEBIT,SUCCESS
670,465,13550,DEBIT,SUCCESS
671,364,58196,DEBIT,SUCCESS
672,159,80098,CREDIT,SUCCESS
673,236,16131,DEBIT,SUCCESS
674,456,73327,DEBIT,FAILED
675,196,95053,CREDIT,SUCCESS
676,161,56830,DEBIT,FAILED
677,474,15402,CREDIT,SUCCESS
678,367,51081,CREDIT,SUCCESS
679,377,79828,CREDIT,SUCCESS
680,325,70398,CREDIT,SUCCESS
681,392,86125,CREDIT,SUCCESS
682,219,89094,DEBIT,SUCCESS
683,459,95676,CREDIT,SUCCESS
684,205,6293,CREDIT,FAILED
685,150,95531,CREDIT,SUCCESS
686,468,15504,DEBIT,SUCCESS
687,276,49397,CREDIT,FAILED
688,357,87807,CREDIT,SUCCESS
689,234,12399,CREDIT,FAILED
690,342,93330,CREDIT,SUCCESS
691,354,15408,CREDIT,SUCCESS
692,127,23063,CREDIT,SUCCESS
693,128,61915,DEBIT,FAILED
694,369,29772,DEBIT,FAILED
695,272,65640,CREDIT,SUCCESS
696,247,77265,CREDIT,SUCCESS
697,417,80042,DEBIT,FAILED
698,395,5550,DEBIT,SUCCESS
699,386,53472,CREDIT,SUCCESS
700,160,26813,CREDIT,FAILED
701,142,14454,DEBIT,SUCCESS
702,104,89589,DEBIT,SUCCESS
703,448,42698,DEBIT,SUCCESS
704,393,80992,DEBIT,SUCCESS
705,135,58139,CREDIT,FAILED
706,494,93273,CREDIT,SUCCESS
707,274,95330,DEBIT,SUCCESS
708,309,23978,CREDIT,SUCCESS
709,207,6979,DEBIT,SUCCESS
710,491,26950,CREDIT,SUCCESS
711,211,84138,DEBIT,SUCCESS
712,213,74120,DEBIT,FAILED
713,424,23734,DEBIT,FAILED
714,470,83930,CREDIT,SUCCESS
715,175,18950,CREDIT,SUCCESS
